away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
14,12,0,20.0533333333,21.3866666667,-0.68,-0.68,2,0,0,9,9,0,20.48,20.68,-0.2,-0.2,2,0,0,0,21,Santo Andre,Ulbra Sao Caetano,11,2010
14,10,0,20,20,0,0,7,50,0,12,13,0,20.4,21.8,-1.08,-0.6,5,0,0,0,26,Volei Futuro,Volta Redonda,11,2010
5,3,1,22.2226666667,20.6562666667,0.44,0.752,6,66.6666666667,0,10,12,1,20.9926666667,21.5093333333,-0.144,0,5,33.3333333333,0,0,26,Sada Cruzeiro,Santo Andre,11,2010
4,12,1,21.256,19.5333333333,0,0.76,6,100,0,1,2,1,22.6106666667,19.5594666667,1.4512,1.08,5,100,0,1,26,Sao Bernardo,America Volei,11,2010
6,9,0,20.6,20.6266666667,0,-0.12,5,50,0,14,6,0,20.2,21.2666666667,-0.68,-0.2,7,0,0,0,26,Medley,Fatima UCS,11,2010
6,5,1,21.512,20.97,0,0.56,7,100,0,2,1,1,22.5253333333,20.3226666667,1.464,1.08,5,100,0,0,26,Sesi,Cimed,11,2010
8,4,0,21.6133333333,21.7733333333,0,-0.28,7,50,0,12,11,0,19.5333333333,21,-0.6,0,7,0,0,0,26,Pinheiros,Blumenau,11,2010
15,8,0,20.372,22.244,-0.976,-0.976,6,0,0,8,14,0,19.5653333333,22.024,-0.824,0,6,33.3333333333,0,0,26,Minas,Londrina,11,2010
5,9,1,20.8,20.7013333333,0.2,0.104,2,66.6666666667,0,14,13,0,20.56,21.64,-1.064,-0.68,2,0,0,1,28,Medley,Volta Redonda,11,2010
10,10,1,20.2,20.24,0.2,0.2,2,100,0,15,6,0,20.36,21.3333333333,-0.744,-0.36,2,0,0,1,28,Volei Futuro,Fatima UCS,11,2010
3,5,1,22.4596,21.476,0.4,0.848,2,100,0,15,11,0,19.8266666667,21.8,-1.08,-0.6,2,0,0,0,28,Sesi,Blumenau,11,2010
14,9,0,20.784,21.494,0,-0.56,7,0,0,1,2,1,22.9885333333,19.9475733333,1.56096,1.264,2,100,0,1,28,Ulbra Sao Caetano,America Volei,11,2010
4,3,1,22.7781333333,20.4583466667,0.952,1.2016,2,75,0,10,14,0,19.7856,22.6192,-1.2592,-0.6,2,25,0,0,28,Sada Cruzeiro,Londrina,11,2010
7,4,1,22.2906666667,21.6186666667,0.6,0.376,2,66.6666666667,0,4,1,0,22.7202666667,21.5081333333,0.7712,0.464,2,75,0,1,28,Pinheiros,Cimed,11,2010
13,8,1,21.2976,21.9285333333,-0.1808,-0.1808,2,25,0,12,12,0,20.7274666667,22.2074666667,-0.7152,-0.6,2,25,0,0,28,Minas,Santo Andre,11,2010
9,13,1,21.198,21.812,-0.6,-0.4512,4,25,0,3,5,1,22.96768,20.1141333333,1.2784,0.56,4,100,0,1,2,Volta Redonda,Sesi,12,2010
14,9,0,20.9605333333,22.1952,-0.6,-1.048,4,0,0,4,3,1,23.2225066667,20.5000106667,1.56128,0.4,4,80,0,1,2,Ulbra Sao Caetano,Sada Cruzeiro,12,2010
1,2,1,23.3908266667,20.291392,0.76,1.848768,4,100,0,12,10,0,20.36,20.432,-0.04,0,4,50,0,1,2,America Volei,Volei Futuro,12,2010
6,12,0,21.3048,20.5266666667,-0.4,0.208,6,66.6666666667,0,9,8,1,22.03808,21.3428266667,0.45536,0,4,40,0,1,2,Sao Bernardo,Minas,12,2010
12,14,0,19.9618133333,23.09536,-0.824,-1.60736,4,20,0,4,1,1,22.2962133333,21.2465066667,0.81696,0.5712,4,80,0,1,2,Londrina,Cimed,12,2010
13,12,0,20.3819733333,22.7659733333,-0.144,-1.17216,4,20,0,15,11,0,18.7946666667,22.44,-1.464,-1.08,4,0,0,1,2,Santo Andre,Blumenau,12,2010
12,6,1,20.528,21.2666666667,-0.6,-0.3952,4,25,0,8,4,0,21.8725333333,21.4149333333,0.1008,-0.28,4,50,0,1,2,Fatima UCS,Pinheiros,12,2010
15,9,0,20.3684266667,22.75616,-1.08,-1.4384,3,0,0,6,8,1,22.630464,20.740928,0.964288,0.6,3,50,0,1,5,Ulbra Sao Caetano,Minas,12,2010
1,2,0,22.8626613333,21.0331136,0.208,1.0790144,3,85.7142857143,0,7,9,0,21.14,21.3110666667,-0.3168,-0.12,7,50,0,0,5,America Volei,Medley,12,2010
12,6,0,19.6224,22.0133333333,-1.08,-0.91616,3,20,0,3,5,1,23.8408106667,20.9579733333,1.62272,1.048,3,100,0,1,5,Fatima UCS,Sesi,12,2010
11,13,0,21.8250666667,22.9162666667,-1.08,-0.96096,3,20,0,6,4,1,22.4980266667,20.3319466667,0.68064,0.376,3,60,0,1,5,Volta Redonda,Pinheiros,12,2010
8,12,0,20.7105066667,21.4213333333,-0.92,-0.4336,3,50,0,4,3,1,23.5780053333,20.0000085333,1.849024,0.92,3,83.3333333333,0,1,5,Sao Bernardo,Sada Cruzeiro,12,2010
13,14,0,19.302784,23.476288,-1.2592,-1.885888,3,16.6666666667,0,10,11,1,20.0357333333,22.4186666667,-0.5712,-0.264,3,25,0,0,5,Londrina,Blumenau,12,2010
14,12,0,20.7722453333,23.2127786667,-0.7152,-1.537728,3,16.6666666667,0,4,1,1,22.8369706667,20.3305386667,1.253568,1.05696,3,83.3333333333,0,1,5,Santo Andre,Cimed,12,2010
5,4,1,22.6984213333,20.2655573333,0.28,0.944512,4,66.6666666667,0,7,9,0,21.512,22.0488533333,-0.85344,-0.696,4,40,0,0,9,Pinheiros,Medley,12,2010
2,1,1,23.2695765333,20.1977642667,0.6,1.6028544,5,85.7142857143,0,15,9,0,20.161408,23.204928,-1.75072,-0.56,5,0,0,0,10,Cimed,Ulbra Sao Caetano,12,2010
11,11,0,20.8785866667,23.1349333333,-0.6,-0.85696,5,20,0,8,12,0,20.9184053333,22.1870666667,-0.74688,0.76,5,40,0,1,10,Blumenau,Sao Bernardo,12,2010
12,13,0,21.4600533333,23.0330133333,-1.264,-1.168768,5,16.6666666667,0,14,12,0,20.5511296,23.5702229333,-1.8301824,-1.08,5,14.2857142857,0,0,10,Volta Redonda,Santo Andre,12,2010
6,8,1,23.1043712,20.4594090667,0.45536,1.3714304,5,57.1428571429,0,1,2,1,23.2901290667,21.42649088,1.46321152,1.6112,5,87.5,0,1,10,Minas,America Volei,12,2010
3,5,1,24.2726485333,20.6330453333,0.92,1.898176,5,100,0,11,10,1,21.088,20.4956,0.368,0.4,7,66.6666666667,0,0,10,Sesi,Volei Futuro,12,2010
13,6,0,19.5645866667,22.8106666667,-1.464,-1.332928,5,16.6666666667,0,10,14,1,20.6422272,23.6310304,-1.1087104,-1.08,5,28.5714285714,0,1,10,Fatima UCS,Londrina,12,2010
12,11,0,20.7028693333,23.2079466667,-0.88,-1.085568,1,16.6666666667,0,15,9,0,20.0624597333,23.6306090667,-2.000576,-1.048,1,0,0,0,11,Blumenau,Ulbra Sao Caetano,12,2010
5,4,1,23.1587370667,20.4791125333,0.824,1.3556096,2,71.4285714286,0,12,10,0,20.8704,20.79648,0.0944,0.12,1,50,0,1,11,Pinheiros,Volei Futuro,12,2010
13,6,0,18.9850026667,23.2485333333,-1.7712,-1.6663424,1,14.2857142857,0,14,12,0,20.64090368,23.2161783467,-1.66414592,-1.064,1,12.5,0,0,11,Fatima UCS,Santo Andre,12,2010
3,5,1,23.8181188267,20.5064362667,0.936,1.7185408,2,100,0,10,9,0,21.4762666667,22.6390826667,-1.282752,-1.1568,3,33.3333333333,0,0,12,Sesi,Medley,12,2010
4,3,1,23.9124042667,20.3500068267,1.3616,1.8792192,7,85.7142857143,0,1,2,1,23.6321032533,20.941192704,1.770569216,1.88896,2,88.8888888889,0,1,12,Sada Cruzeiro,America Volei,12,2010
12,13,1,21.5280426667,22.6264106667,-0.8112,-0.7350144,2,28.5714285714,0,8,14,1,21.51378176,22.2381576533,-0.28696832,-0.264,2,37.5,0,1,12,Volta Redonda,Londrina,12,2010
3,1,1,23.6823278933,20.0915447467,1.08,1.88228352,4,87.5,0,9,10,1,21.69632,21.037184,0.67552,0.696,3,60,0,0,14,Cimed,Volei Futuro,12,2010
10,9,0,21.2810133333,23.0112661333,-0.24,-1.4262016,3,28.5714285714,0,7,8,0,22.28349696,21.3675272533,0.49714432,1.08,5,50,0,1,15,Medley,Minas,12,2010
8,12,1,21.4347242667,21.7496533333,-1.136,-0.197504,6,50,0,5,4,0,22.9269896533,21.3832900267,0.48448768,0.7008,5,62.5,0,1,16,Sao Bernardo,Pinheiros,12,2010
3,5,1,23.9544950613,20.5051490133,1.1488,1.77483264,5,100,0,15,9,0,19.8999677867,23.6044872533,-2.0004608,-1.2384,6,0,0,0,17,Sesi,Ulbra Sao Caetano,12,2010
9,10,0,22.197056,21.8297472,-0.04,0.340416,3,50,0,5,3,0,23.6632567467,21.4800054613,0.90337536,1.136,5,75,0,1,17,Volei Futuro,Sada Cruzeiro,12,2010
10,9,0,21.0748106667,23.2590129067,-0.592,-1.54096128,4,25,0,4,3,1,23.9806053973,21.4340043691,1.122700288,1.3088,2,77.7777777778,0,1,19,Medley,Sada Cruzeiro,12,2010
9,10,0,22.0076448,22.51379776,-0.432,-0.1276672,2,42.8571428571,0,6,8,1,22.676797568,21.1440218027,0.797715456,1.264,4,55.5555555556,0,0,19,Volei Futuro,Minas,12,2010
14,12,0,21.112722944,23.5729426773,-1.17216,-1.931316736,7,11.1111111111,0,7,14,1,22.211025408,22.0571927893,0.370425344,0.3888,7,44.4444444444,0,1,19,Santo Andre,Londrina,12,2010
5,4,1,23.3415917227,21.173298688,0.0592,0.987590144,3,66.6666666667,0,2,5,1,23.4435960491,20.1241192107,1.619866112,1.4384,2,100,0,1,19,Pinheiros,Sesi,12,2010
13,6,1,20.1880021333,23.1988266667,-0.81696,-0.73307392,7,25,0,11,11,1,21.2622954667,22.4163573333,-0.4684544,-0.6112,7,28.5714285714,0,1,21,Fatima UCS,Blumenau,12,2010
8,10,1,22.00611584,22.451038208,-0.1456,0.09786624,3,50,0,11,9,0,21.3265152,23.6072103253,-1.832769024,-1.32544,3,22.2222222222,0,1,22,Volei Futuro,Medley,12,2010
5,4,0,23.0732733781,22.1386389504,-0.35264,0.3900721152,4,60,0,15,9,0,19.6399742293,23.1635898027,-1.80036864,-1.19072,6,0,0,0,23,Pinheiros,Ulbra Sao Caetano,12,2010
1,5,1,23.9548768393,20.4992953685,1.11904,1.6958928896,4,100,0,11,12,0,21.21444608,22.3997226667,-0.7580032,1.008,7,42.8571428571,0,0,23,Sesi,Sao Bernardo,12,2010
10,11,1,22.0098363733,22.1997525333,-0.304,0.22523648,7,37.5,0,3,1,1,23.9458623147,20.9132357973,1.705826816,1.445568,7,88.8888888889,0,1,31,Blumenau,Cimed,12,2010
8,10,0,21.724892672,22.4008305664,-0.31648,-0.121707008,7,44.4444444444,0,6,14,1,22.7688203264,21.5124208981,0.8963402752,0.91104,7,50,0,1,5,Volei Futuro,Londrina,1,2011
7,8,0,22.5814380544,21.3152174421,-0.235712,0.4381723648,7,50,0,10,11,0,20.941202432,22.7598020267,-0.419810816,0.11104,6,33.3333333333,0,0,6,Minas,Blumenau,1,2011
15,9,0,19.6619793835,23.4308718421,-1.464,-1.840294912,7,0,0,12,13,0,21.4891008,23.1011285333,-1.18801152,-0.144,7,25,0,1,7,Ulbra Sao Caetano,Volta Redonda,1,2011
9,9,1,21.50121216,23.0057682603,-1.0736,-1.2662152192,7,30,0,14,12,0,20.7568450219,23.8583541419,-2.1450533888,-1.4512,7,10,0,0,7,Medley,Santo Andre,1,2011
2,2,1,24.1056826027,21.2862874965,0.7664,2.0164553728,7,90,0,1,5,1,24.1639014714,19.9327696282,1.9567143117,1.55072,7,100,0,1,7,America Volei,Sesi,1,2011
12,12,0,20.5048901973,22.9197781333,-1.5088,-1.20640256,7,37.5,0,13,6,0,20.4170683733,23.5590613333,-1.186459136,-0.088,7,22.2222222222,0,0,7,Sao Bernardo,Fatima UCS,1,2011
4,3,1,24.1844843179,21.6138701619,0.48928,1.4981602304,7,80,0,3,1,1,24.1566898517,20.0639219712,1.9646614528,1.7564544,7,90,0,0,7,Sada Cruzeiro,Cimed,1,2011
7,8,1,22.8651504435,21.3521739537,0.2114304,0.7505378918,2,54.5454545455,0,3,1,0,23.3253518814,19.971137577,1.3717291622,1.20516352,1,81.8181818182,0,1,8,Minas,Cimed,1,2011
9,12,1,21.2539121579,22.5358225067,-0.80704,-0.565122048,1,44.4444444444,0,12,13,1,22.04128064,23.0809028267,-0.550409216,0.2848,1,33.3333333333,0,1,8,Sao Bernardo,Volta Redonda,1,2011
11,10,0,21.7799141376,23.1206644531,-0.853184,-0.6973656064,3,40,0,14,12,0,21.2054760175,24.5533499802,-2.316042711,-1.76096,1,9.0909090909,0,0,8,Volei Futuro,Santo Andre,1,2011
3,2,0,23.4845460821,21.0690299972,0.41312,1.4131642982,2,81.8181818182,0,5,4,1,23.3586187025,21.6609111603,0.7120576922,1.16064,7,63.6363636364,0,1,9,America Volei,Pinheiros,1,2011
15,9,0,20.3295835068,23.5946974737,-1.5712,-1.8722359296,2,0,0,13,6,0,20.5336546987,23.6972490667,-1.3491673088,-0.4704,2,20,0,1,9,Ulbra Sao Caetano,Fatima UCS,1,2011
4,3,1,23.2675874543,21.2910961295,0.591424,1.3985281843,2,81.8181818182,0,12,11,0,21.0529619456,23.0078416213,-0.7358486528,-0.311168,3,30,0,0,9,Sada Cruzeiro,Blumenau,1,2011
9,9,1,22.6676363947,23.0046146082,-0.25888,-0.4129721754,2,36.3636363636,0,6,14,1,23.4150562611,21.6099367185,1.3170722202,1.328832,4,54.5454545455,0,1,9,Medley,Londrina,1,2011
11,12,0,21.0831297263,22.5486580053,-0.845632,-0.6520976384,4,40,0,8,10,1,22.3739313101,22.4965315625,-0.1578924851,0.3568,4,45.4545454545,0,0,12,Sao Bernardo,Volei Futuro,1,2011
6,14,1,22.8120450089,21.4879493748,-0.60736,1.2536577761,5,58.3333333333,0,1,5,1,23.3711211771,20.1462157025,1.7653714493,1.440576,7,100,0,0,14,Londrina,Sesi,1,2011
11,13,1,22.153024512,22.5447222613,-1.24896,-0.2403273728,6,40,0,3,3,1,23.8140699634,21.0328769036,1.7188225475,1.64704,5,83.3333333333,0,1,14,Volta Redonda,Sada Cruzeiro,1,2011
15,9,0,20.1436668054,22.635757979,-1.45696,-1.6977887437,5,0,0,10,9,0,22.3341091157,22.4836916866,-0.5303777403,-0.860352,5,33.3333333333,0,1,14,Ulbra Sao Caetano,Medley,1,2011
12,11,0,20.8423695565,23.6062732971,-0.8432,-1.1886789222,5,27.2727272727,0,4,2,0,23.2276368657,21.3352239978,0.9305314386,2.111168,5,75,0,1,14,Blumenau,America Volei,1,2011
13,6,1,20.1869237589,22.8377992533,-1.253568,-0.879333847,5,27.2727272727,0,7,8,0,22.4521203548,21.361739163,0.4004303135,0.8112,6,50,0,1,14,Fatima UCS,Minas,1,2011
14,12,0,20.964380814,24.5926799841,-1.537728,-2.2528341688,6,8.3333333333,0,6,4,1,23.166894962,21.7687289283,0.7696461537,1.128512,5,66.6666666667,0,1,14,Santo Andre,Pinheiros,1,2011
13,6,0,20.1995390071,23.1702394027,-1.4028544,-1.1034670776,2,25,0,2,3,1,24.0512559707,20.9596348562,1.975058038,1.917632,2,84.6153846154,0,1,16,Fatima UCS,Sada Cruzeiro,1,2011
11,13,0,21.8557529429,23.0357778091,-1.599168,-0.7922618982,2,36.3636363636,0,7,8,1,22.8616962839,21.1393913304,0.7203442508,1.04896,2,53.8461538462,0,0,16,Volta Redonda,Minas,1,2011
10,12,1,21.266503781,22.3989264043,-0.4765056,-0.3216781107,4,45.4545454545,0,8,9,1,22.8672872926,21.3869533493,0.1756978078,-0.0882816,2,38.4615384615,0,1,16,Sao Bernardo,Medley,1,2011
14,12,0,20.6381713179,24.6741439873,-1.8301824,-2.4022673351,2,7.6923076923,0,1,5,0,23.2568969417,20.636972562,1.2122971595,0.9524608,2,92.3076923077,0,1,16,Santo Andre,Sesi,1,2011
6,14,1,22.7696360071,21.7503594998,-0.285888,1.2029262209,2,61.5384615385,0,5,4,1,23.5335159696,21.2816498093,1.215716923,1.5028096,2,69.2307692308,0,1,16,Londrina,Pinheiros,1,2011
4,1,1,22.9402815051,20.1369100616,1.064,1.2973833298,7,83.3333333333,0,3,2,1,23.9821094926,21.9348458649,1.3444251509,2.2889344,2,76.9230769231,0,0,16,Cimed,America Volei,1,2011
15,9,0,19.5149334443,23.1086063832,-1.765568,-1.9582309949,2,0,0,11,10,0,22.2591450481,22.39722525,-0.3263139881,0.08544,4,41.6666666667,0,1,16,Ulbra Sao Caetano,Volei Futuro,1,2011
15,9,0,19.6519467555,23.2068851065,-1.6124544,-1.766584796,4,0,0.2,1,5,1,23.6055175534,20.242911383,1.5698377276,1.36196864,4,92.8571428571,0,1,20,Ulbra Sao Caetano,Sesi,1,2011
3,1,1,23.2022252041,20.1095280493,1.2512,1.4379066638,4,84.6153846154,0,11,12,0,21.6132030248,22.8691411234,-0.6573424886,0.2064,4,41.6666666667,0,0,20,Cimed,Sao Bernardo,1,2011
12,11,0,21.5405623119,24.2850186377,-1.27456,-1.5509431378,6,25,0,9,10,1,22.5273160385,21.9577802,-0.0610511905,0.268352,4,46.1538461538,0,1,20,Blumenau,Volei Futuro,1,2011
9,9,1,23.2438298341,21.7095626794,-0.407104,0.5405582462,6,42.8571428571,-0.2,7,10,1,23.0218528308,21.36622416,0.5511590476,0.8146816,2,50,0,1,22,Medley,Volei Futuro,1,2011
11,12,0,21.6405624199,23.1953128987,-0.78120448,-0.9258739909,2,38.4615384615,0,15,9,0,20.1215574044,23.4655080852,-1.8132678368,-1.352576,2,0,0,0,22,Sao Bernardo,Ulbra Sao Caetano,1,2011
6,14,0,22.2823754724,22.4002875999,-0.8287104,0.3623409767,6,57.1428571429,-0.6,14,12,0,20.2438703876,24.7393151898,-2.5218138681,-1.808768,6,7.1428571429,0,0,22,Londrina,Santo Andre,1,2011
3,3,1,24.2410047766,20.4343745517,1.0731392,2.1800464304,7,85.7142857143,-0.4,8,8,0,21.9560236937,21.9115130643,-0.0237245994,0.239168,7,50,0,0,23,Sada Cruzeiro,Minas,1,2011
11,13,1,22.4846023543,22.0952889139,-0.6793344,-0.0338095186,7,41.6666666667,0,13,6,0,19.8262978724,23.5361915221,-1.4827736621,-0.17632,7,23.0769230769,0,1,23,Volta Redonda,Fatima UCS,1,2011
3,1,1,23.4617801633,20.4376224394,1.40096,1.5503253311,3,85.7142857143,-0.6,13,11,0,21.0324498495,24.4280149101,-1.8407545102,-0.8489344,3,23.0769230769,0,0,23,Cimed,Blumenau,1,2011
1,5,1,23.7844140427,20.5943291064,1.495232,1.6558701821,5,93.3333333333,-0.4,5,4,1,23.8268127757,21.0919865141,1.5725735384,1.80224768,7,71.4285714286,0,0,25,Sesi,Pinheiros,1,2011
8,8,0,21.814818955,22.3292104514,-0.03085568,-0.4189796795,3,46.6666666667,-0.4,9,9,0,22.6617305339,22.3676501435,-0.167553403,0.32937472,4,40,0,0,26,Minas,Medley,1,2011
13,11,0,21.4259598796,24.7424119281,-1.619648,-2.0726036082,5,21.4285714286,0,11,13,0,21.8543485501,22.6762311311,-0.6270476149,0.42784,5,38.4615384615,0,0,28,Blumenau,Volta Redonda,1,2011
4,2,0,23.1856875941,22.3978766919,0.130496,0.6755401207,7,71.4285714286,-0.6,14,12,0,20.3284296434,24.7914521519,-2.6174510944,-2.0470144,6,6.6666666667,0,0,28,America Volei,Santo Andre,1,2011
2,1,1,23.9694241306,20.9500979515,1.720768,1.8402602649,5,86.6666666667,-0.6,13,6,1,20.8610382979,22.6956198844,-0.5862189297,0.458944,5,28.5714285714,0,0,28,Cimed,Fatima UCS,1,2011
5,4,0,23.4114502205,21.6735892113,0.117888,0.8580588307,3,66.6666666667,-0.6,10,12,1,22.5124499359,23.456250319,-0.3406991927,-0.23488,6,42.8571428571,0,1,28,Pinheiros,Sao Bernardo,1,2011
3,3,1,24.1928038213,20.5974996413,1.25851136,2.1440371443,6,86.6666666667,-0.4,7,10,1,23.4174822646,21.1596459947,1.0409272381,1.25174528,7,53.3333333333,0,0,29,Sada Cruzeiro,Volei Futuro,1,2011
2,1,1,24.1755393045,20.4934116946,1.9766144,2.0722082119,1,87.5,-0.6,11,13,0,22.1501455068,23.3409849049,-1.1016380919,-0.257728,1,35.7142857143,0,0,29,Cimed,Volta Redonda,1,2011
9,12,1,22.5599599487,22.8650002552,-0.224963584,0.1274406458,2,46.6666666667,0.6,2,5,1,23.8275312341,20.8254632851,1.7246961457,1.489574912,5,93.75,0,1,30,Sao Bernardo,Sesi,1,2011
12,11,1,22.3407679037,24.4605962091,-0.6957184,-1.0580828865,2,26.6666666667,-0.6,13,6,0,20.4221639717,23.1564959075,-1.0689751437,-0.2328448,2,26.6666666667,0,1,30,Blumenau,Fatima UCS,1,2011
15,9,0,20.9972459235,23.9724064682,-1.68996352,-1.8506142694,7,0,0.4,5,4,0,22.8291601764,21.888871369,0.2864470646,1.041798144,2,62.5,0,1,30,Ulbra Sao Caetano,Pinheiros,1,2011
3,3,1,24.6209097237,20.7446663797,1.606809088,2.3152297154,2,87.5,-0.6,10,9,0,22.3693844271,22.0141201148,-0.3340427224,0.063499776,5,37.5,0,1,31,Sada Cruzeiro,Medley,1,2011
8,8,1,21.571855164,22.1033683612,0.175315456,-0.1351837436,5,50,0.2,7,10,0,23.0006524784,22.1943834624,0.2327417905,0.401396224,2,50,0,0,31,Minas,Volei Futuro,1,2011
4,2,1,23.2985500752,22.1683013535,0.5043968,0.9404320966,3,73.3333333333,-0.6,6,14,1,22.8259003779,22.0535634132,0.8898727814,1.2630656,7,60,0,0,31,America Volei,Londrina,1,2011
1,5,1,23.8620249873,20.7603706281,1.5961856,1.7797569165,4,94.1176470588,-0.4,7,8,1,22.2574841312,21.4160280223,0.4918530051,-0.2086656,3,52.9411764706,0,0,3,Sesi,Minas,2,2011
5,4,1,23.1633281411,21.3110970952,-0.3056896,0.6291576517,4,64.7058823529,0.6,3,3,0,23.896727779,21.2457331038,1.4521837724,2.1341056,3,82.3529411765,0,1,3,Pinheiros,Sada Cruzeiro,2,2011
8,10,0,22.133855316,22.7555067699,-0.2825472,-0.4138065676,4,47.0588235294,0.2,2,1,1,24.3404314436,20.128062689,2.2577665695,1.164130816,6,88.2352941176,0,1,4,Volei Futuro,Cimed,2,2011
10,12,0,22.147967959,23.0920002042,-0.5799708672,-0.2980474833,5,43.75,-0.2,14,12,0,20.5127437147,24.5831617215,-2.4939608756,-2.03761152,7,6.25,0,1,4,Sao Bernardo,Santo Andre,2,2011
12,6,1,21.4710645107,22.925196726,-1.72228352,-0.255180115,5,31.25,0.2,4,2,1,23.6388400602,21.2013077495,1.3523456772,1.43114752,4,75,0,1,4,Fatima UCS,America Volei,2,2011
9,9,1,22.5455075417,21.8112960919,-0.9256832,0.1327658221,4,41.1764705882,-0.6,13,11,0,22.2726143229,24.7018103006,-1.4464663092,-1.27914752,5,25,0,0,4,Medley,Blumenau,2,2011
15,9,0,20.5977967388,24.0779251745,-1.751970816,-1.8804914155,5,0,0.2,6,14,0,21.727386969,22.6428507306,0.1118982251,0.41045248,4,56.25,0,1,4,Ulbra Sao Caetano,Londrina,2,2011
1,5,1,23.9896199899,21.0082965025,1.67694848,1.8238055332,2,94.4444444444,-0.2,3,3,1,24.0173822232,21.096586483,1.5617470179,2.10728448,2,83.3333333333,0,0,5,Sesi,Sada Cruzeiro,2,2011
15,9,0,20.678237391,24.2623401396,-2.0015766528,-2.1043931324,1,0,0.4,14,12,1,21.1101949718,24.2665293772,-1.5951687004,-1.230089216,1,11.7647058824,0,0,5,Ulbra Sao Caetano,Santo Andre,2,2011
9,10,0,21.9070842528,23.2044054159,-0.82603776,-0.9310452541,2,44.4444444444,-0.6,13,11,0,22.284758125,25.0947815739,-1.7571730474,-1.623318016,2,23.5294117647,0,0,6,Volei Futuro,Blumenau,2,2011
11,13,0,21.4534497388,23.6727879239,-1.14346752,-1.4813104735,7,33.3333333333,0.6,4,2,1,23.9110720482,20.6277128663,1.6818765418,1.744918016,2,76.4705882353,0,1,6,Volta Redonda,America Volei,2,2011
9,9,1,23.3697393667,21.9157035402,-0.14054656,0.7062126576,2,44.4444444444,0.6,2,1,1,24.4723451549,20.3024501512,2.4062132556,1.5313046528,2,88.8888888889,0,1,6,Medley,Cimed,2,2011
10,12,0,22.3183743672,23.1736001633,-0.8639766938,-0.6384379867,2,41.1764705882,-0.6,6,14,1,22.3819095752,22.3142805845,0.6895185801,0.928361984,2,58.8235294118,0,1,6,Sao Bernardo,Londrina,2,2011
